word,frequency
aa,0.0
ah,297.16
ai,2738.17
an,76.76
as,509.59999999999997
au,5322.5
be,1.15
bi,0.34
bu,42.230000000000004
by,0.68
ca,2504.8
ce,5395.13
ci,3.65
cm,1.01
co,0.0
da,3.71
dc,0.14
de,38932.57
dm,0.0
do,3.78
du,7132.84
eh,176.62
en,11402.97
es,335.4
et,20879.73
eu,459.12
fa,1.08
fi,4.66
fy,0.0
gi,0.14
go,2.7
gy,1.15
ha,8.24
he,30.0
hi,5.41
ho,4.73
if,0.81
il,15832.16
in,11.62
ja,0.41
je,10862.77
ka,0.07
km,0.0
la,25971.219999999998
le,20736.49
li,1.76
lu,59.519999999999996
ma,1667.16
me,4264.32
mi,5.61
ml,0.0
mm,1.35
mn,0.0
mu,1.96
na,0.81
ne,7789.650000000001
ni,662.36
nu,63.31
ob,0.07
oh,197.09
ok,2.37
on,4838.38
or,200.07
os,49.73
ou,4497.97
pa,2.43
pc,0.0
ph,0.2
pi,1.28
pu,349.32
qu,1.76
ra,3.45
re,8.04
ri,15.41
ru,0.61
sa,3732.43
se,6587.77
si,1859.12
su,78.65
ta,251.69
te,775.87
to,3.78
tu,2537.3700000000003
un,13946.36
us,1.55
ut,0.54
va,694.59
vu,417.37
ya,3.31
yu,0.0
