word,frequency
a,23863.78
b,8.65
c,11.21
d,5.33
e,29.06
f,7.09
g,4.66
i,33.52
j,3.79
k,3.78
l,7.58
m,17.09
n,16.759999999999998
o,44.6
q,0.61
s,28.52
t,9.46
u,2.97
v,7.7
w,2.7
x,4.46
y,3113.65
z,5.07
