word,frequency
anatomophysiologique,0.07
anticonceptionnelles,0.07
chronophotographique,0.0
deresponsabilisation,0.07
desindividualisation,0.0
hypercholesterolemie,0.0
incomprehensiblement,0.47
inconditionnellement,0.0
intergouvernementale,0.0
internationalisation,0.07
interprofessionnelle,0.07
paragouvernementales,0.07
